,property_name,society,price,per_sqft,bedroom,bathroom,configuration,area,area_with_type,area_type,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,address,location,nearby_location,property_type
0,"2 BHK Flat in Sector 104, Gurgaon","2 BHK Flat in Sector 104, Gurgaon",₹1.62 Cr,"₹14,740 /sqft",2.0,2.0,2 BHK,1099.0,"1,099 sqft",Super Built-up,26 floor,North-East,Ready To Move,,2.0,,Garden,"This 2 bhk flat is located in hero homes, which houses some of the most spacious flats in sector 104 gurgaon. This property faces the north-East direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1099 sq.Ft. The flat has a total of 26 floors and this property is situated on 11th floor. As the pr...",Hero Homes,Hero Homes,North-East Facing Private Garden,Flat
1,"4 BHK Flat in Sector 37C, Gurgaon","4 BHK Flat in Sector 37C, Gurgaon",₹1.67 Cr,"₹9,010 /sqft",4.0,4.0,4 BHK,1848.0,"1,848 sqft",Super Built-up,,West,Ready To Move,,3.0,,,"Check out this 4 bhk apartment for sale in piedmont taksila heights, a popular residential project that houses in-Demand flats in sector 37c gurgaon. This is a north-West-Facing property. Containing 4 bedroom(s), 4 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 1848 sq.Ft. This flat lies on the 10th level of a 15 storey building. Being a ready to move pro...",Piedmont Taksila heights,Piedmont Taksila heights,"Alipne, Euro, Suncity...... Nearby Park Hospital Nearby",Flat
2,"4 BHK Flat in Sector 30, Gurgaon","4 BHK Flat in Sector 30, Gurgaon",₹15.5 Cr,"₹30,167 /sqft",4.0,4.0,4 BHK,5138.0,"5,138 sqft",Carpet,,North,Ready To Move,,3.0,,,"This residential flat is north-Facing direction. Containing 4 bedroom(s), 4 bathrooms and more than 3 balconies, this flat is spread over a carpet area of 5138 sq.Ft. This flat lies on the 12th level of a 17 storey building. Being a ready to move project, you can expect immediate possession of this 10+ years old property. The beautifully designed marble flooring enhances the beauty of the flat....",Unitech The World Spa West,Unitech The World Spa West,North Facing Gated Society,Flat
3,"3 BHK Flat in Sector 89, Gurgaon","3 BHK Flat in Sector 89, Gurgaon",₹1.7 Cr,"₹9,714 /sqft",3.0,3.0,3 BHK,1750.0,"1,750 sqft",Built-up,,East,Under Construction,,,,"Parking, Garden",Low density and big room size on first floor with 2 parking,Ace Palm Floors,Ace Palm Floors,East Facing Private Garden,Flat
4,"4 BHK Flat in Sector 104, Gurgaon","4 BHK Flat in Sector 104, Gurgaon",₹3.8 Cr,"₹12,063 /sqft",4.0,4.0,4 BHK,3150.0,"3,150 sqft",Super Built-up,,,Ready To Move,,,,,Spacious 4 bhk apartment of 3150 sqft in ats triumph in sec 104 gurgaon,ATS Triumph,ATS Triumph,,Flat
5,"3 BHK Flat in Nirvana Country, Gurgaon","3 BHK Flat in Nirvana Country, Gurgaon",₹2.8 Cr,"₹14,917 /sqft",3.0,4.0,3 BHK,1877.0,"1,877 sqft",Super Built-up,,,Ready To Move,,,,,3 bhk with sq ready to move prime location park pool facing and sun facing balcony with all amenities prime location in nirvana country gurgaon,Unitech Fresco,Unitech Fresco,,Flat
6,"4 BHK Flat in Sector 37C, Gurgaon","4 BHK Flat in Sector 37C, Gurgaon",₹2.1 Cr,"₹10,869 /sqft",4.0,4.0,4 BHK,1932.0,"1,932 sqft",Carpet,,,Ready To Move,,,,"Parking, Lift, Power Backup, Garden, Security, Play Area, Gated Community",Amenities Lift 247 security Power backup Gated community Reserved parking Childrens play area Landscaped gardens Why buy this property Large usable area (~1920 sq. Ft.) 4 bedrooms + 4 baths (Ideal for families) Strong resale & investment potential Excellent road & metro connectivity (Future growth) Detailed property description A well-Maintained and ready-To-Move 4 bhk flat available for resale...,Piedmont Taksila heights,Piedmont Taksila heights,,Flat
7,"4 BHK Flat in Sector 92, Gurgaon","4 BHK Flat in Sector 92, Gurgaon",₹2.3 Cr,"₹10,762 /sqft",4.0,4.0,4 BHK,2137.0,"2,137 sqft",Carpet,,,Ready To Move,,,,,"1. Very well furnished with wood work in living room, tv units, almirah and lofts 2. Modular kitchen with chimey, geyser and ro 3. Redone washrooms with tile work 4. Air conditioners installed in all rooms. This is your chance to a 4 bhk apartment / flat for sale in sare homes sector 92 gurgaon . Where luxury comes with affordability. Basic details: You will love this bright and spacious 4 bedr...",Sare Homes,Sare Homes,Gated Society Overlooking Park,Flat
8,"4 BHK Flat in Sector 113, Gurgaon","4 BHK Flat in Sector 113, Gurgaon",₹5 Cr,"₹18,796 /sqft",4.0,4.0,4 BHK,2660.0,"2,660 sqft",Super Built-up,10th floor,,Ready To Move,,3.0,,,"Looking for a 4 bhk jodi flat for sale in gurgaon? Buy this 4 bhk flat in la vida by tata housing that is situated in sector 113 gurgaon . Containing 4 bedroom(s), 4 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 2660 sq.Ft. This flat is situated on the 10th floor of these 14 floors tall residential building. This is a ready to move project and the proper...",La Vida by Tata Housing,La Vida by Tata Housing,,Flat
9,"4 BHK Flat in Sector 66, Gurgaon","4 BHK Flat in Sector 66, Gurgaon",₹7.3 Cr,"₹29,060 /sqft",4.0,3.0,4 BHK,2512.0,"2,512 sqft",Carpet,10th floor,,Under Construction,,,,"Swimming Pool, Gym","Located in smartworld the edition, sector 66, gurgaon, this under-Construction 4 bhk flat spans 2,512 sq.Ft. On the 10th floor of a 42-Story high-Rise. Featuring 4 bedrooms, 3 bathrooms, and access to a gym, swimming pool, and community center, it offers comfortable living with convenient connectivity to metro, schools, and shopping hubs. Available by 2029.",Smartworld The Edition,Smartworld The Edition,,Flat
10,"3 BHK Flat in Sector 69, Gurgaon","3 BHK Flat in Sector 69, Gurgaon",₹5.3 Cr,"₹19,702 /sqft",3.0,3.0,3 BHK,2690.0,"2,690 sqft",Carpet,,North,Under Construction,,3.0,,,"Residential apartment This is your chance to a 3 bhk apartment / flat for sale in sector 69 gurgaon . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall and 3 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has ...",Smartworld sky arc,Smartworld sky arc,North Facing Gated Society,Flat
11,"3 BHK Flat in Sector 1 Imt Manesar, Gurgaon","3 BHK Flat in Sector 1 Imt Manesar, Gurgaon",₹1.63 Cr,"₹9,020 /sqft",3.0,3.0,3 BHK,1807.0,"1,807 sqft",Super Built-up,8th floor,,Ready To Move,,,"Servant Room, Store Room",,"Exclusive 8th floor view: A 3-Side open unit offering the best vantage point in the society with panoramic, uninterrupted golf green views. Rare 5-Balcony configuration: Independent balconies for the living room, all 3 bedrooms, and the kitchen (Utility area), ensuring maximum light and cross-Ventilation. Full utility suite: 3 bedrooms + 1 dedicated store room + 1 servant room with separate ent...",MSL Apartments,MSL Apartments,Close to School Close to Market,Flat
12,"2 BHK Flat in Sector 65, Gurgaon","2 BHK Flat in Sector 65, Gurgaon",₹2.45 Cr,"₹18,041 /sqft",2.0,2.0,2 BHK,1358.0,"1,358 sqft",Super Built-up,,East,Ready To Move,,3.0,,,"The flat is facing the north-East direction. The flat is over 1358 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 3 balconies. This flat lies on the 14th level of a 48 storey building. This 1-5 years old property is available for immediate possession as the project is ready to move. The marble flooring of this flat is beautifully designed and helps to give it a pleasing...",M3M Heights,M3M Heights,,Flat
13,"4 BHK Flat in Sector 69, Gurgaon","4 BHK Flat in Sector 69, Gurgaon",₹7.5 Cr,"₹22,935 /sqft",4.0,4.0,4 BHK,3270.0,"3,270 sqft",Built-up,31st floor,East,Under Construction,,3.0,,,"This 4 bhk flat is located in smart world sky arc, which houses some of the most spacious flats in sector 69 gurgaon. This residential flat is east-Facing direction. The floor plan additionally contains 4 bedroom(s), 4 bathrooms and 3 balconies. All in all, the flat is spread over a built up area of 3270 sq.Ft. This flat is situated on the 31st floor of this 45 floors tall residential building....",Smart World Sky Arc,Smart World Sky Arc,East Facing Close to Hospital,Flat
14,"3 BHK Flat in Sector 69, Gurgaon","3 BHK Flat in Sector 69, Gurgaon",₹5.2 Cr,"₹20,392 /sqft",3.0,3.0,3 BHK,2550.0,"2,550 sqft",Built-up,,,Under Construction,,3.0,,,"Residential apartment This is your chance to a 3 bhk apartment / flat for sale in sector 69 gurgaon . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall and 3 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has ...",Smartworld Sky Arc,Smartworld Sky Arc,,Flat
15,"2 BHK Flat in Sector 65, Gurgaon","2 BHK Flat in Sector 65, Gurgaon",₹2.47 Cr,"₹19,627 /sqft",2.0,2.0,2 BHK,1261.0,"1,261 sqft",Super Built-up,37 floor,East,Ready To Move,,3.0,,,"The flat is east-Facing. Containing 2 bedroom(s), 2 bathrooms and 3 balconies, this flat is spread over a super built up area of 1261 sq.Ft. The flat has a total of 37 floors and this property is situated on 18th floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The flat comes well built with marble flooring options. Moreover, this propert...",M3M Heights,M3M Heights,East Facing St. Xavier School within 500m,Flat
16,"4 BHK Flat in Sector 77, Gurgaon","4 BHK Flat in Sector 77, Gurgaon",₹2.95 Cr,"₹17,332 /sqft",4.0,4.0,4 BHK,1950.0,"1,950 sqft",Super Built-up,,,Ready To Move,,,,Parking,"Its a 4 bhk property youd love to live in. Its close to the clubhouse and its a park facing property, one of the best located properties in the society with views of the huge park from the drawing, 1 bedroom and the kitchen. The actual usable area is very large and the house is designed very well. We have two covered parking, one on the ground level and the other in the multilevel parking which...",Emaar MGF Palm Hills,Emaar MGF Palm Hills,,Flat
17,"4 BHK Flat in Sector 99, Gurgaon","4 BHK Flat in Sector 99, Gurgaon",₹3.2 Cr,"₹11,287 /sqft",4.0,5.0,4 BHK,2835.0,"2,835 sqft",Super Built-up,,,Under Construction,,4.0,,,"Residential apartment This is your chance to a 4 bhk apartment / flat for sale in assotech blith sector 99 gurgaon . Where luxury comes with affordability. Basic details: You will love this bright and spacious 4 bedroom apartment with 5 bathrooms, modular kitchen, spacious hall and 4 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural...",Assotech Blith,Assotech Blith,,Flat
18,"3 BHK Flat in Sector 104, Gurgaon","3 BHK Flat in Sector 104, Gurgaon",₹9.7 Cr,"₹22,866 /sqft",3.0,3.0,3 BHK,4242.0,"4,242 sqft",Built-up,,North,Under Construction,,3.0,,,"This is your chance to a 3 bhk apartment / flat for sale in sector 104 gurgaon . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall and 3 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has good ventilation that...",Delphine Central Park Estates,Delphine Central Park Estates,North Facing Gated Society,Flat
19,"3 BHK Flat in Sector 37C, Gurgaon","3 BHK Flat in Sector 37C, Gurgaon",₹2.1 Cr,"₹7,603 /sqft",3.0,3.0,3 BHK,2762.0,"2,762 sqft",Carpet,20 floor,,Ready To Move,,3.0,,,"This residential flat is south-Facing direction. The flat occupies a carpet area of 2762 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and more than 3 balconies. The residential building has 20 floors in total and the flat for sale is located on the ground floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property. The floor of this flat is beautif...",ILD Greens,ILD Greens,Ground Floor,Flat
20,"3 BHK Flat in Sector 108, Gurgaon","3 BHK Flat in Sector 108, Gurgaon",₹4.15 Cr,"₹20,028 /sqft",3.0,4.0,3 BHK,2072.0,"2,072 sqft",Super Built-up,,,Ready To Move,,,,,"Sobha city, an integrated township sprawling across 39 acres (1,57,827 sq m), is located near the dwarka expressway. This landmark address features 8.5 acres (34,398 sq m) of open park, 1-Acre resort-Style lakelet, a 90-Metre-Dia cricket ground, over 50 top-Notch amenities, and 2 clubhouses spread across 50,000 sq.",Sobha City,Sobha City,,Flat
21,"3 BHK Flat in Sector 66, Gurgaon","3 BHK Flat in Sector 66, Gurgaon",₹6.07 Cr,"₹20,000 /sqft",3.0,3.0,3 BHK,3035.0,"3,035 sqft",Super Built-up,,,Under Construction,,3.0,,,"Residential apartment This is your chance to a 3 bhk apartment / flat for sale in smartworld the edition sector 66 gurgaon . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall and 3 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample...",Smartworld The Edition,Smartworld The Edition,,Flat
22,"4 BHK Flat in Sector 84, Gurgaon","4 BHK Flat in Sector 84, Gurgaon",₹3.25 Cr,"₹11,607 /sqft",4.0,4.0,4 BHK,2800.0,"2,800 sqft",Carpet,4th floor,,Ready To Move,,3.0,,,"Address:- Ss linden floors b-19, 4th floor sec 84/85 gurgaon. Constructed on a carpet area of 2800 sq.Ft., the flat comprises 4 bedroom(s), 4 bathrooms and more than 3 balconies. The residential building has 4 floors in total and the flat for sale is located on the top floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property. The society is well eq...",SS Linden Floors,SS Linden Floors,Top Floor Newly Constructed,Flat
23,"3 BHK Flat in Sector 56, Gurgaon","3 BHK Flat in Sector 56, Gurgaon",₹2.5 Cr,"₹17,170 /sqft",3.0,3.0,3 BHK,1456.0,"1,456 sqft",Super Built-up,7 floor,North,Ready To Move,,3.0,,,"The flat is facing the north direction. Constructed on a super built up area of 1456 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 3 balconies. The flat has a total of 7 floors and this property is situated on 3rd floor. An added advantage of this 10+ years old flat is that it is available for immediate possession as the project is already ready to move. The well built ceramic floori...",AWHO Devinder Vihar,AWHO Devinder Vihar,North Facing 56 metro within 500m,Flat
24,"3 BHK Flat in Sector 108, Gurgaon","3 BHK Flat in Sector 108, Gurgaon",₹3.38 Cr,"₹19,398 /sqft",3.0,3.0,3 BHK,1745.0,"1,745 sqft",Super Built-up,6th floor,East,Ready To Move,,2.0,,Garden,A 3 bhk flat is available for sale in gurgaon sector-108 gurgaon. This north-East facing property is a part of 40 acres development . It has more than two bathrooms.The apartment with 2 balconies has park/garden and club view. It is a north-East facing flat. Located on the 6th floor of 18 floors. The expected price of this apartment is rs 1.85 crore () The apartment is situated in a gated socie...,Sobha City,Sobha City,,Flat
25,"3 BHK Flat in Sector 63A, Gurgaon","3 BHK Flat in Sector 63A, Gurgaon",₹6.7 Cr,"₹22,750 /sqft",3.0,3.0,3 BHK,2945.0,"2,945 sqft",Super Built-up,,North,Under Construction,,3.0,,,"This is your chance to a 3 bhk apartment / flat for sale in tarc ishva sector 63a gurgaon . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall and 3 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has good venti...",TARC Ishva,TARC Ishva,North Facing Gated Society,Flat
26,"3 BHK Flat in Sector 108, Gurgaon","3 BHK Flat in Sector 108, Gurgaon",₹6 Cr,"₹25,608 /sqft",3.0,5.0,3 BHK,2343.0,"2,343 sqft",Super Built-up,,East,Ready To Move,,2.0,,,"Located in the popular residential address of sector 108 gurgaon, sobha city is one of the most preferred destination for apartments in gurgaon. This 3 bhk flat is your ticket to be a part of this community. This property faces the east direction. The floor plan additionally contains 3 bedroom(s), 5 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 2343 sq....",Sobha City,Sobha City,East Facing Top Floor,Flat
27,"3 BHK Flat in Sector 108, Gurgaon","3 BHK Flat in Sector 108, Gurgaon",₹4.93 Cr,"₹32,637 /sqft",3.0,5.0,3 BHK,2343.0,"2,343 sqft",Super Built-up,,North-East,Ready To Move,,2.0,,,"This 3 bhk flat is located in sobha city, which houses some of the most spacious flats in sector 108 gurgaon. The flat is north-East-Facing. The flat occupies a super built up area of 2343 sq.Ft. That consists of 3 bedrooms, 5 bathrooms and 2 balconies. This flat lies on the 10th level of a 24 storey building. As the project is already ready to move, so you can easily move into this 1-5 years o...",Sobha City,Sobha City,North-East Facing Gated Society,Flat
28,"4 BHK Flat in Sector 92, Gurgaon","4 BHK Flat in Sector 92, Gurgaon",₹2 Cr,"₹10,626 /sqft",4.0,3.0,4 BHK,1882.0,"1,882 sqft",Carpet,,East,Ready To Move,,3.0,,,"This beautiful 4 bhk flat in sector 92 gurgaon is situated in sare crescent parc, one of the popular residential society in gurgaon. This residential flat is east-Facing direction. Containing 4 bedroom(s), 3 bathrooms and 3 balconies, this flat is spread over a carpet area of 1882 sq.Ft. This flat lies on the 14th level of a 19 storey building. As the project is already ready to move, so you ca...",Sare Crescent Parc,Sare Crescent Parc,East Facing Close to School,Flat
29,"3 BHK Flat in Sector 37D, Gurgaon","3 BHK Flat in Sector 37D, Gurgaon",₹3.87 Cr,"₹15,674 /sqft",3.0,4.0,3 BHK,2469.0,"2,469 sqft",Super Built-up,,,Under Construction,,,,,"This is your chance to a 3 bhk apartment / flat for sale in signature global de luxe dxp sector 37d gurgaon . Where luxury comes with affordability. Usps: 1) proposed metro station on dwarka expressway (Sector 37) The gurugram metro project includes a spur line connecting to the dwarka expressway. The proposed metro corridor runs from millennium city centre to cyber city, with a 1.85 km spur to...",Signature Global De Luxe DXP,Signature Global De Luxe DXP,,Flat
30,"3 BHK Flat in Sector 53, Gurgaon","3 BHK Flat in Sector 53, Gurgaon",₹9 Cr,"₹33,962 /sqft",3.0,4.0,3 BHK,2650.0,"2,650 sqft",Built-up,,,Ready To Move,,,,"Swimming Pool, Garden","Description: This apartment offers the best views in all of parasvnath exotica. Every room directly overlooks the gardens on either side, while three rooms also overlook a beautiful swimming pool. Each room is flooded with sunlight both in the morning and in the afternoon. This apartment is a five-Minute walk across beautiful gardens from two exclusive malls on either side of the complex, as we...",Parsvnath Exotica,Parsvnath Exotica,,Flat
31,"4 BHK Flat in Sector 65, Gurgaon","4 BHK Flat in Sector 65, Gurgaon",₹9.28 Cr,"₹25,000 /sqft",4.0,5.0,4 BHK,3712.0,"3,712 sqft",Super Built-up,17th floor,,Under Construction,,3.0,,Gym,"This 4 bhk apartment is available for sale in m3m altitude, one of the most prominent projects for flats in sector 65 gurgaon. The flat is west-Facing, golf facing and inner facing. The flat is over 3712 sq.Ft. Carpet area and comes with 4 bedroom(s), 5 bathrooms and more than 3 balconies. The property is located on the 17th floor of a 32 floors tall building. This residential property is still...",M3M Altitude,M3M Altitude,Gated Society Fitness Center/ Gym,Flat
32,"3 BHK Flat in Sector 108, Gurgaon","3 BHK Flat in Sector 108, Gurgaon",₹3.35 Cr,"₹19,579 /sqft",3.0,3.0,3 BHK,1711.0,"1,711 sqft",Super Built-up,,North,Ready To Move,,2.0,,,"Check out this 3 bhk apartment for sale in sobha city, a popular residential project that houses in-Demand flats in sector 108 gurgaon. The flat is facing the north direction. Constructed on a super built up area of 1711 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 2 balconies. This flat lies on the 11th level of a 18 storey building. Being a ready to move project, you can expect im...",Sobha City,Sobha City,North Facing Newly Constructed,Flat
33,"2 BHK Flat in Sector 102, Gurgaon","2 BHK Flat in Sector 102, Gurgaon",₹1.1 Cr,"₹17,405 /sqft",2.0,2.0,2 BHK,632.0,632 sqft,Super Built-up,1st floor,,Ready To Move,,1.0,,,"This beautiful 2 bhk flat in sector 102 gurgaon is situated in suncity avenue 102, one of the popular residential society in gurgaon. The flat is over 632 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 1 balcony. The property is located on the 1st floor of a 12 floors tall building. Being a ready to move project, you can expect immediate possession of this 1-5 years old...",Suncity Avenue 102,Suncity Avenue 102,Recently Renovated Gated Society,Flat
34,"3 BHK Flat in Sector 79, Gurgaon","3 BHK Flat in Sector 79, Gurgaon",₹3.49 Cr,"₹16,462 /sqft",3.0,3.0,3 BHK,2120.0,"2,120 sqft",Super Built-up,,,Under Construction,,3.0,,"Parking, Swimming Pool, Club House, Vastu Compliant","The best clear view of the arravallis from 3 balconies, one balcony views the club house and swimming pool, 2 parkings one covered and one open are included, cupboards in the master bedroom included, fully loaded modular kitchen along with all appliances like fridge, dish washer etc, premium flooring and electrical fittings, as this is a premium tower from godrej itself. Vastu compliant entry t...","Godrej aria 101, tower H , suprema","Godrej aria 101, tower H , suprema",,Flat
35,"3 BHK Flat in Sector 65, Gurgaon","3 BHK Flat in Sector 65, Gurgaon",₹3.7 Cr,"₹18,013 /sqft",3.0,3.0,3 BHK,2054.0,"2,054 sqft",Super Built-up,48 floor,,Ready To Move,,3.0,,,"The flat is facing the east direction. Containing 3 bedroom(s), 3 bathrooms and 3 balconies, this flat is spread over a super built up area of 2054 sq.Ft. The residential building has 48 floors in total and the flat for sale is located on the 22nd floor. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. The ma...",M3M Heights,M3M Heights,,Flat
36,"3 BHK Flat in Sector 104, Gurgaon","3 BHK Flat in Sector 104, Gurgaon",₹3.9 Cr,"₹15,918 /sqft",3.0,3.0,3 BHK,2450.0,"2,450 sqft",Super Built-up,,,Ready To Move,,,,,"Rera approved Puri emerald bay is an unmatched residential property located in sector 104, gurugram. The project offers plenty of benefits that includes prime location, comfortable and lavish lifestyle, great amenities, healthy surroundings and high return. Each apartment in this project has been built abiding by the international standards of architecture. Care has been taken in constructing t...",Puri Emerald Bay,Puri Emerald Bay,,Flat
37,"3 BHK Flat in Sector 99, Gurgaon","3 BHK Flat in Sector 99, Gurgaon",₹3.7 Cr,"₹13,309 /sqft",3.0,3.0,3 BHK,2780.0,"2,780 sqft",Super Built-up,12 floor,,Ready To Move,,3.0,,,"Looking for a 3 bhk property for sale in gurgaon? Buy this 3 bhk flat in vatika sovereign park that is situated in sector 99 gurgaon. This residential flat is west-Facing direction. The flat is over 2780 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and 3 balconies. The flat has a total of 12 floors and this property is situated on 7th floor. This 5-10 years old property i...",Vatika Sovereign Park,Vatika Sovereign Park,dav within 1.5km Gated Society,Flat
38,"3 BHK Flat in Sector 65, Gurgaon","3 BHK Flat in Sector 65, Gurgaon",₹3.65 Cr,"₹17,770 /sqft",3.0,3.0,3 BHK,2054.0,"2,054 sqft",Super Built-up,,,Ready To Move,,3.0,,,"This is a east-Facing property. The flat occupies a super built up area of 2054 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 3 balconies. This flat lies on the 24th level of a 48 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The flat comes well built with marble flooring options. The society complex is in the close vici...",M3M Heights,M3M Heights,,Flat
39,"4 BHK Flat in Sector 52, Gurgaon","4 BHK Flat in Sector 52, Gurgaon",₹4.5 Cr,"₹15,000 /sqft",4.0,5.0,4 BHK,3030.0,"3,030 sqft",Super Built-up,6th floor,,Ready To Move,,,,Power Backup,"Located on the 6th floor of a 10-Story mid-Rise at cghs prithvi apartments, sector 52, gurgaon, this semifurnished 4 bhk flat spans 3030 sq.Ft. With 5 bathrooms, east-Facing views, full power backup, and 24/7 water, it ensures comfortable living. Immediate availability in a gated society near metro stations, schools, hospitals, and markets. 3 side open, internal and external part facing with th...",CGHS Prithvi Apartments,CGHS Prithvi Apartments,,Flat
40,"2 BHK Flat in Sector 70A, Gurgaon","2 BHK Flat in Sector 70A, Gurgaon",₹95 Lac,"₹13,959 /sqft",2.0,2.0,2 BHK,680.0,680 sqft,Carpet,,North-East,Ready To Move,,,,,It's ultra luxury full finishing flat for sales,Pyramid Fusion Homes,Pyramid Fusion Homes,North-East Facing Close to Metro Station,Flat
41,"3 BHK Flat in Sector 59, Gurgaon","3 BHK Flat in Sector 59, Gurgaon",₹5.25 Cr,"₹22,875 /sqft",3.0,4.0,3 BHK,2295.0,"2,295 sqft",Super Built-up,25th floor,,Ready To Move,,2.0,,,"This beautiful 3 bhk flat in sector 59 gurgaon is situated in conscient elevate, one of the popular residential society in gurgaon. This residential flat is east-Facing direction. The flat occupies a super built up area of 2295 sq.Ft. That consists of 3 bedrooms, 4 bathrooms and 2 balconies. This flat is situated on the 25th floor of this 34 floors tall residential building. As the project is a...",Conscient Elevate,Conscient Elevate,,Flat
42,"4 BHK Flat in DLF Phase 5, Gurgaon","4 BHK Flat in DLF Phase 5, Gurgaon",₹12.25 Cr,"₹27,222 /sqft",4.0,4.0,4 BHK,4500.0,"4,500 sqft",Carpet,5th floor,East,Ready To Move,,2.0,,,"This residential flat is east-Facing direction. The floor plan additionally contains 4 bedroom(s), 4 bathrooms and 2 balconies. All in all, the flat is spread over a carpet area of 500 sq.Yards. This flat is situated on the 5th floor of this 10 floors tall residential building. This 1-5 years old property is available for immediate possession as the project is ready to move. The well built marb...",DLF The Grove,DLF The Grove,East Facing Gated Society,Flat
43,"5 BHK Flat in Sector 66, Gurgaon","5 BHK Flat in Sector 66, Gurgaon",₹7 Cr,"₹19,073 /sqft",5.0,5.0,5 BHK,3670.0,"3,670 sqft",Carpet,,,Ready To Move,,4.0,,Gym,"Residential apartment This is your chance to a 5 bhk apartment / flat for sale in emaar mgf palm terraces select sector 66 gurgaon . Where luxury comes with affordability. Basic details: You will love this bright and spacious 5 bedroom apartment with 5 bathrooms, modular kitchen, spacious hall and 4 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provid...",Emaar Mgf Palm Terraces Select,Emaar Mgf Palm Terraces Select,Top Floor Fitness Center/ Gym,Flat
44,"2 BHK Flat in Nirvana Country, Gurgaon","2 BHK Flat in Nirvana Country, Gurgaon",₹2.15 Cr,"₹14,429 /sqft",2.0,2.0,2 BHK,1490.0,"1,490 sqft",Super Built-up,,,Ready To Move,,3.0,,,"The flat is over 1490 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and more than 3 balconies. This flat lies on the 8th level of a 19 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property. This flat is located near close to school, close to hospital, close to market and close to mall. Many of the modern amenities...",Unitech Fresco,Unitech Fresco,,Flat
45,"3 BHK Flat in Sector 86, Gurgaon","3 BHK Flat in Sector 86, Gurgaon",₹2.1 Cr,"₹10,880 /sqft",3.0,3.0,3 BHK,1930.0,"1,930 sqft",Super Built-up,,,Ready To Move,,,,,"This property is 3 bhk+sr in dlf nth sector-86, the property facing is so good as vastu . The overlook view of balcony is sun facing and park facing . The floor will be on middle side as par building height. The property is also near by malls, schools, bank, hospitals, and also near by dwarka expressway & nh-48",DLF New Town Heights 2,DLF New Town Heights 2,Bharat Ram Global School within 1.5km Sliver streak hospital within 500m,Flat
46,"3 BHK Flat in Sector 59, Gurgaon","3 BHK Flat in Sector 59, Gurgaon",₹6.15 Cr,"₹23,699 /sqft",3.0,3.0,3 BHK,2595.0,"2,595 sqft",Super Built-up,34 floor,,Ready To Move,,3.0,,,"Conscient elevate is one of the most popular destination for buying apartments/ flats in sector 59 gurgaon. You too can be a part of this society by purchasing this 3 bhk flat here. This residential flat is east-Facing direction. The flat occupies a super built up area of 2595 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 3 balconies. The residential building has 34 floors in total and th...",Conscient Elevate,Conscient Elevate,,Flat
47,"3 BHK Flat in Sector 108, Gurgaon","3 BHK Flat in Sector 108, Gurgaon",₹4.2 Cr,"₹20,270 /sqft",3.0,4.0,3 BHK,2072.0,"2,072 sqft",Super Built-up,,,Ready To Move,,,,,"Sobha city ncrs best urban park residences is located just off the dwarka expressway in sector 108, gurgaon, only 15 minutes from igi airport. Spread over 39 acres of contiguous land, the project offers 86% open & green areas. Sobha city comprises of 2 & 3 bedroom premium residences in sizes ranging from 1381 sq. Ft. To 2343 sq. Ft. The project has 2 clubhouses spread over 40,000 sq. Ft and off...",Sobha City,Sobha City,,Flat
