,listing_type,property_name,society,price,per_sqft,bedroom,bathroom,configuration,area,area_with_type,area_type,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,address,location,nearby_location,property_type
140,Independent House,"22 Bedroom House in Sector 50, Gurgaon","22 Bedroom House in Sector 50, Gurgaon",₹6.9 Cr,"₹50,438 /sqft",22,11,22 BHK,1368,"1,368 sqft",Covered,,South,RESALE,,,,"Parking, Garden, Park","Do you wish to buy an independent house in sector 50 gurgaon. This 22 bhk house looks like an ideal choice for somebody looking for peace of mind. The floor plan additionally contains 22 bedrooms. All in all, the independent house is spread over a super built up area of 152sq.Yds. There are 2 covered parking available with this house. This 4.5 years old property is available for immediate posse...",Unitech South City 2,Unitech South City 2,East Facing Private Garden,House
141,Independent House,"7 Bedroom House in Block C Palam Vihar, Gurgaon","7 Bedroom House in Block C Palam Vihar, Gurgaon",₹2.25 Cr,"₹37,879 /sqft",7,7,7 BHK,594,594 sqft,,,North-East,RESALE,Fully Furnished,,,Garden,Ready to move fully furnished house in palam vihar 66 gaj house,"Block C Palam Vihar, Gurgaon","Block C Palam Vihar, Gurgaon",North-East Facing Private Garden,House
142,Independent House,"4 Bedroom House in Sector 82, Gurgaon","4 Bedroom House in Sector 82, Gurgaon",₹8.55 Cr,"₹26,389 /sqft",4,4,4 BHK,3240,"3,240 sqft",Covered,,,RESALE,,3.0,,"Parking, Park","This 4 bhk house for sale in sector 82 gurgaon, a well planned locality in gurgaon, is ideal for a family that is looking for complete peace of mind. The floor plan additionally contains 4 bedrooms, 4 bathrooms and 3 balconies. All in all, the independent house is spread over a super built up area of 360 sq.Yards. The owner of the house also gets 1 covered parking slot(s) to park their car safe...",Vatika Signature Villas,Vatika Signature Villas,,House
143,Independent House,"9 Bedroom House in DLF Phase 2, Gurgaon","9 Bedroom House in DLF Phase 2, Gurgaon",₹14.5 Cr,"₹48,821 /sqft",9,12,9 BHK,2970,"2,970 sqft",,3,North,RESALE,,,,"Parking, Lift, Park",Stilt plus 3 floor two side open north facing building having 3 bhk on fisrt & second floor plus a stilt plus ug duplex. The two side open property has lift and stilt parking. Good for rental income and self use,Stilt Plus 3 Floors,Stilt Plus 3 Floors,North Facing MG Road Metro within 1km,House
144,Independent House,"4 Bedroom House in Sector 43, Gurgaon","4 Bedroom House in Sector 43, Gurgaon",₹6.5 Cr,"₹18,571 /sqft",4,4,4 BHK,3500,"3,500 sqft",Built-up,,,RESALE,,,,,6 marla ( 163 sqyds) wonderfull duplex house with basement is available for sale in sec 43 near golf course road gurgaon,6 Marla Duplex House,6 Marla Duplex House,Sec 42 Rapid Metro Station within 500m Ambience Public School within 250m,House
145,Independent House,"4 Bedroom House in Sector 67, Gurgaon","4 Bedroom House in Sector 67, Gurgaon",₹4.5 Cr,"₹16,666 /sqft",4,4,4 BHK,2700,"2,700 sqft",Covered,,North,RESALE,,2.0,,"Parking, Garden, Park","This 4 bhk house for sale in sector 67 gurgaon, a well planned locality in gurgaon, is ideal for a family that is looking for complete peace of mind. The floor plan additionally contains 4 bedrooms, 4 bathrooms and 2 balconies. All in all, the independent house is spread over a super built up area of 2700 sq.Ft. The houses comes with dedicated 1 covered and 1 open parking space(s) where you can...",Ansal API Esencia,Ansal API Esencia,North Facing Private Garden,House
146,Independent House,"5 Bedroom House in Sector 33, Gurgaon","5 Bedroom House in Sector 33, Gurgaon",₹12.4 Cr,"₹27,446 /sqft",5,5,5 BHK,4518,"4,518 sqft",,,East,RESALE,,,,,Villas are total bareshell and the good location for the vastu perfect,Unitech Uniworld Resorts,Unitech Uniworld Resorts,East Facing Newly Constructed,House
147,Independent House,"10 Bedroom House in Sector 56, Gurgaon","10 Bedroom House in Sector 56, Gurgaon",₹9.25 Cr,"₹24,069 /sqft",10,10,10 BHK,3843,"3,843 sqft",,,North-East,RESALE,,,,,10 bhk building Sushant lok 2 Gatted block 24/7 guard Main road 50 mtr just Just 500 mtr metro,Ansal Sushant Lok 2,Ansal Sushant Lok 2,"North-East Facing SECTOR 55,56 METRO Nearby",House
148,Independent House,"4 Bedroom House in Sector 50, Gurgaon","4 Bedroom House in Sector 50, Gurgaon",₹8.5 Cr,"₹39,352 /sqft",4,5,4 BHK,2160,"2,160 sqft",,,East,RESALE,,,,Garden,"Luxury independent duplex villa built on a 240 sq. Yd. Plot in mayfield garden, gurgaon. Thoughtfully designed with spacious interiors, premium fittings, and abundant natural light, this home offers privacy and comfort in a well-Established neighborhood. Located close to major roads, top schools, hospitals, and daily conveniences, its an ideal choice for families seeking upscale living in a pri...",Mayfield Gardens,Mayfield Gardens,East Facing Private Garden,House
149,Independent House,"3 Bedroom House in Sector 48, Gurgaon","3 Bedroom House in Sector 48, Gurgaon",₹8.8 Cr,"₹3,05,555 /sqft",3,4,3 BHK,288,288 sqft,,,North,RESALE,,,,"Garden, Gated Community","Vipul tatvam villas in sector 48, gurgaon, is a premier gated community offering luxurious 50-Acre, resort-Style, independent villas. Located on sohna road, this 254-Villa development features top-Tier amenities like private pools, landscaped gardens, and a clubhouse, offering high-End living in a secure,, accessible environment. Amenities: Residents have access to a mini cinema theater, clubho...",Vipul Tatvam Villa,Vipul Tatvam Villa,North Facing Private Garden,House
150,Independent House,"4 Bedroom House in C Block Mayfield Garden, Gurgaon","4 Bedroom House in C Block Mayfield Garden, Gurgaon",₹8.5 Cr,"₹3,54,166 /sqft",4,7,4 BHK,240,240 sqft,Covered,,East,RESALE,,3.0,,"Parking, Garden, Park","Are you planning to buy your dream home? You can consider this well-Built 4 bhk house for sale in c block mayfield garden, gurgaon and make it your new address. The house has over super built up area of 240 sq.Yards and comes with 4 bedrooms, 7 bathrooms and 3 balconies. The houses comes with dedicated 1 covered and 2 open parking space(s) where you can easily park your vehicle(s). This is a re...","C Block Mayfield Garden, Gurgaon","C Block Mayfield Garden, Gurgaon",East Facing Gated Society,House
151,Independent House,"2 Bedroom House in Sector 36A, Gurgaon","2 Bedroom House in Sector 36A, Gurgaon",₹3.8 Cr,"₹20,000 /sqft",2,3,2 BHK,1900,"1,900 sqft",,,North-East,RESALE,,2.0,,,"On the lookout for a spacious house in gurgaon? Go for this 2 bhk house for sale in sector 36a gurgaon, a well-Connected locality within gurgaon. This residential property boasts proximity to key landmarks like close to school, close to hospital, close to market and close to railway station. The floor plan additionally contains 2 bedrooms, 3 bathrooms and 2 balconies. All in all, the independen...",Krisumi Waterfall Residences,Krisumi Waterfall Residences,North-East Facing new era public school within 1.5km,House
152,Independent House,"5 Bedroom House in Sector 109, Gurgaon","5 Bedroom House in Sector 109, Gurgaon",₹20.5 Cr,"₹45,556 /sqft",5,6,5 BHK,4500,"4,500 sqft",,,,RESALE,,,,"Swimming Pool, Gym, Park, Jogging Track, Play Area","Sobha international city | ready to move 500 sq.Yd | 5bhk+sr | phase 1 Sobha international city in sector 109, gurgaon Sobha international city phase 1, 208 units Spread over an area of 36 acres Amenities Swimming pool, lawn tennis, basketball court, gymnasium, premium clubhouse, yoga & aerobics, kids play area, jogging track, landscaped parks large, banquet hall Prime connectivity 0 km from de...",International City by Sobha Phase 1,International City by Sobha Phase 1,,House
153,Independent House,"5 Bedroom House in Nirvana Country, Gurgaon","5 Bedroom House in Nirvana Country, Gurgaon",₹17 Cr,"₹52,469 /sqft",5,6,5 BHK,3240,"3,240 sqft",,,,RESALE,,,,Garden,,Nirvana Cedar Crest,Nirvana Cedar Crest,Private Garden Gated Society,House
154,Independent House,"4 Bedroom House in Sector 109, Gurgaon","4 Bedroom House in Sector 109, Gurgaon",₹8.5 Cr,"₹13,492 /sqft",4,4,4 BHK,6300,"6,300 sqft",,,,RESALE,,,,"Garden, Lift",This is a duplex villa. Biggest plot size 700 sqyard and 1 lift available,"Sector 109, Gurgaon","Sector 109, Gurgaon",Private Garden Close to Metro Station,House
155,Independent House,"4 Bedroom House in Sector 72, Gurgaon","4 Bedroom House in Sector 72, Gurgaon",₹15 Cr,"₹17,647 /sqft",4,4,4 BHK,8500,"8,500 sqft",Built-up,,North-East,RESALE,,,,Garden,"Tata primanti in sector 72, gurgaon is a ready-To-Move housing society. It offers apartments, independent floors and villas in varied budget range",Tata Primanti,Tata Primanti,North-East Facing Private Garden,House
156,Independent House,"4 Bedroom House in Sector 72, Gurgaon","4 Bedroom House in Sector 72, Gurgaon",₹8.1 Cr,"₹18,000 /sqft",4,4,4 BHK,4500,"4,500 sqft",Built-up,,North-East,RESALE,,,,Garden,"Tata primanti in sector 72, gurgaon is a ready-To-Move housing society. It offers apartments, independent floors and villas in varied budget range",Tata Primanti,Tata Primanti,North-East Facing Private Garden,House
157,Independent House,"2 Bedroom House in Sector 82, Gurgaon","2 Bedroom House in Sector 82, Gurgaon",₹94.5 Lac,"₹10,465 /sqft",2,2,2 BHK,940,940 sqft,,,,RESALE,Semi Furnished,,,,Available for sell vatika independent floor 2bhk semi furnished sector -82 near by nh8 and dwarka express way,Vatika Independent Floors,Vatika Independent Floors,,House
158,Independent House,"10 Bedroom House in B Block Sushant Lok Phase 1, Gurgaon","10 Bedroom House in B Block Sushant Lok Phase 1, Gurgaon",₹10.75 Cr,"₹39,815 /sqft",10,10,10 BHK,2700,"2,700 sqft",,3,North,RESALE,,,,,"Without noc, this floorwise house is in a good livable condition. Built on a 300 yds plot the house has 3 floors of 3 bhk each and 1 bedroom on top floor making the count of rooms is 10. The property is north and located on a 12 mtr wide road in a prime location in b block sushant lok 1",Floorwise House,Floorwise House,North Facing HUDA City Metro Nearby,House
159,Independent House,"4 Bedroom House in DLF Phase 4, Gurgaon","4 Bedroom House in DLF Phase 4, Gurgaon",₹5.5 Cr,"₹16,296 /sqft",4,4,4 BHK,3240,"3,240 sqft",,1st,,RESALE,,,,,"Live the dlf lifestyle luxury & comfort steps from galleria market! Elegant 4 bhk builder floor | prime location near galleria market, dlf phase 4 Experience a perfect blend of luxury and comfort in this 360 sq. Yd. Beautifully designed 4 bhk builder floor on the 1st floor, ideally located just steps from galleria market in dlf phase 4. This home offers 4 stylish washrooms, 3 spacious balconies...",DLF Phase 4 Luxury Builder Floors,DLF Phase 4 Luxury Builder Floors,,House
160,Independent House,"5 Bedroom House in DLF Phase 2, Gurgaon","5 Bedroom House in DLF Phase 2, Gurgaon",₹8.8 Cr,"₹44,000 /sqft",5,6,5 BHK,2000,"2,000 sqft",Covered,,East,RESALE,,3.0,,"Parking, Garden, Park","Looking to buy an independent house in gurgaon? Do check out this 5 bhk house in dlf phase 2, which is an ideal choice for a family. This house occupies a super built up area of 2000 sq.Ft. And contains 5 bedrooms, 6 bathrooms and more than 3 balconies. The houses comes with dedicated 2 covered and 3 open parking space(s) where you can easily park your vehicle(s). As the property is already rea...","DLF Phase 2, Gurgaon","DLF Phase 2, Gurgaon",East Facing Private Garden,House
161,Independent House,"5 Bedroom House in DLF Phase 2, Gurgaon","5 Bedroom House in DLF Phase 2, Gurgaon",₹12.7 Cr,"₹42,333 /sqft",5,6,5 BHK,3000,"3,000 sqft",Covered,,North-East,RESALE,,3.0,,"Parking, Garden, Park","Do you wish to buy an independent house in dlf phase 2, gurgaon. This 5 bhk house looks like an ideal choice for somebody looking for peace of mind. Containing 5 bedrooms, 6 bathrooms and more than 3 balconies, this independent house is spread over a super built up area of 3000 sq.Ft. The owner of the house also gets 2 covered and 3 open parking slot(s) to park their car safely. Another added a...","DLF Phase 2, Gurgaon","DLF Phase 2, Gurgaon",North-East Facing Private Garden,House
162,Independent House,"6 Bedroom House in DLF Phase 2, Gurgaon","6 Bedroom House in DLF Phase 2, Gurgaon",₹15.9 Cr,"₹39,750 /sqft",6,7,6 BHK,4000,"4,000 sqft",Covered,,North-East,RESALE,,3.0,,"Parking, Garden, Park","On the lookout for a spacious house in gurgaon? Go for this 6 bhk house for sale in dlf phase 2, a well-Connected locality within gurgaon. Containing 6 bedrooms, 7 bathrooms and more than 3 balconies, this independent house is spread over a super built up area of 4000 sq.Ft. Your vehicle(s) can be easily parked as this house comes with 2 covered and 3 open parking. Being a ready to move house, ...","DLF Phase 2, Gurgaon","DLF Phase 2, Gurgaon",North-East Facing Private Garden,House
163,Independent House,"4 Bedroom House in Sector 66, Gurgaon","4 Bedroom House in Sector 66, Gurgaon",₹14 Cr,"₹58,260 /sqft",4,4,4 BHK,2403,"2,403 sqft",,,North,RESALE,,,,Garden,"Marbella villas is a stylish and upscale villa community offering beautifully designed homes with modern features. Set in a peaceful and scenic environment, it provides residents with spacious living areas, private outdoor spaces, and access to premium amenities. Marbella villas is the ideal choice for those seeking comfort, elegance, and a relaxed lifestyle",Emaar MGF Marbella,Emaar MGF Marbella,North Facing Private Garden,House
164,Independent House,"5 Bedroom House in Sector 66, Gurgaon","5 Bedroom House in Sector 66, Gurgaon",₹22.5 Cr,"₹50,000 /sqft",5,5,5 BHK,4500,"4,500 sqft",,,North-East,RESALE,,,,Garden,"Marbella villas is an exclusive residential community offering elegant, spacious homes designed for comfort and luxury. Surrounded by lush landscapes and featuring modern amenities such as private pools, landscaped gardens, and high-End interiors, marbella villas provides a serene and upscale lifestyle. Its the perfect blend of sophistication, privacy, and relaxationideal for families and those...",Emaar MGF Marbella,Emaar MGF Marbella,North-East Facing dps within 1km,House
165,Independent House,"7 Bedroom House in DLF Phase 1, Gurgaon","7 Bedroom House in DLF Phase 1, Gurgaon",₹38 Cr,"₹84,108 /sqft",7,8,7 BHK,4518,"4,518 sqft",,,North,RESALE,,,,,Brand new 502 yards independent bungalow 7bhk dlf phase 1 .,"DLF Phase 1, Gurgaon","DLF Phase 1, Gurgaon",North Facing Gated Society,House
166,Independent House,"2 Bedroom House in Sector-33 Sohna, Gurgaon","2 Bedroom House in Sector-33 Sohna, Gurgaon",₹1.49 Cr,"₹13,632 /sqft",2,2,2 BHK,1093,"1,093 sqft",,,North,RESALE,,,,"Garden, Gated Community, Park","Live in the quintessential global township Central park offers a world of facilities and amenities that differentiate the township and the lifestyle it offers by a great expanse. This global township is created to become the perfect habitat for holistic wellness. Nestled adjacent to the majestic aravallis, this gated community offers a destination living with the concept of spring season all ye...",Central Park Flower Valley Flamingo Floors,Central Park Flower Valley Flamingo Floors,North Facing Private Garden,House
167,Independent House,"3 Bedroom House in Sector 9A, Gurgaon","3 Bedroom House in Sector 9A, Gurgaon",₹3.75 Cr,"₹26,042 /sqft",3,3,3 BHK,1440,"1,440 sqft",Built-up,,,RESALE,,,,Security,"Discover this beautifully maintained 3 bhk single-Storey house located in a top-Notch gated block offering comfort, security, and convenience all in one place. This home features a spacious built-Up area with three well-Ventilated bedrooms, two modern bathrooms, a bright living and dining area, and a fully equipped modular kitchen. The property has been recently renovated, giving it a fresh, mo...","Sector 9A, Gurgaon","Sector 9A, Gurgaon",,House
168,Independent House,"7 Bedroom House in DLF Phase 1, Gurgaon","7 Bedroom House in DLF Phase 1, Gurgaon",₹10 Cr,"₹55,556 /sqft",7,7,7 BHK,1800,"1,800 sqft",,,,RESALE,,,,Lift,Triplex house with stilt and lift. Well maintained in a gated block in dlf phase 1.,Duplex Stilt & Lift,Duplex Stilt & Lift,Sikendarpur Metro Nearby Shiv Nadar School Nearby,House
169,Independent House,"3 Bedroom House in Sector 60, Gurgaon","3 Bedroom House in Sector 60, Gurgaon",₹4 Cr,"₹15,503 /sqft",3,3,3 BHK,2250,"2,250 sqft",Covered,,,RESALE,,2.0,,"Parking, Park","On the lookout for a spacious house in gurgaon? Go for this 3 bhk house for sale in sector 60 gurgaon, a well-Connected locality within gurgaon. Containing 3 bedrooms, 3 bathrooms and 2 balconies, this independent house is spread over a super built up area of 2250 sq.Ft. Your vehicle(s) can be easily parked as this house comes with 1 covered and 1 open parking. Being a ready to move house, you ...",Ireo City Plots,Ireo City Plots,Newly Constructed,House
170,Independent House,"4 Bedroom House in Suncity, Gurgaon","4 Bedroom House in Suncity, Gurgaon",₹6 Cr,"₹18,518 /sqft",4,5,4 BHK,3240,"3,240 sqft",,,East,RESALE,,,,Garden,"Ultra-Luxurious newly built builder floor | 360 sq yds | 4 bhk + 5 washrooms | east-Facing | sun city, sector-54 golf course road Presenting a brand-New ultra-Luxurious 4 bhk builder floor with 5 lavish washrooms, built on a 360 sq yds plot, located in the elite sun city, sector-54, right on golf course roadone of gurugrams most prestigious residential addresses. This east-Facing residence is m...",Sun City,Sun City,East Facing Private Garden,House
171,Independent House,"5 Bedroom House in Sector 7, Gurgaon","5 Bedroom House in Sector 7, Gurgaon",₹4.75 Cr,"₹21,111 /sqft",5,5,5 BHK,2250,"2,250 sqft",Built-up,,,RESALE,,,,"Security, Park","Beautifully built 6 bhk independent house in sector 7 2 storey built-Up with 3 bhk on each floor. Top-Notch location near a park & market Gated block with 24/7 security guards Modular kitchen and spacious, well-Ventilated rooms Walking distance from mandir Ready to move in superior construction quality and elegant design. Call us today for more details and to schedule a site visit. Let our 30 y...","Sector 7, Gurgaon","Sector 7, Gurgaon",,House
172,Independent House,"5 Bedroom House in Sector 67, Gurgaon","5 Bedroom House in Sector 67, Gurgaon",₹8.5 Cr,"₹31,481 /sqft",5,6,5 BHK,2700,"2,700 sqft",,,,RESALE,,,,Garden,300 sq yard luxury villa in ansal essencia sector 67 gurgaon. Spacious room with attach washroom and balcony. Spacious kitchen.,Ansal API Esencia,Ansal API Esencia,Private Garden huda city centre Nearby,House
173,Independent House,"5 Bedroom House in Sector 82, Gurgaon","5 Bedroom House in Sector 82, Gurgaon",₹10.6 Cr,"₹29,152 /sqft",5,6,5 BHK,3636,"3,636 sqft",,,North-East,RESALE,,,,Garden,"This is one of the most beautiful and elegantly done villa with large basement converted into party hall with high end flooring and stone work couple with ultra luxurious upholstery yard, basement - Hall with tv & home theatre , bathroom & pantry & store , ground floor - Livings+ dining+ powder room , kitchen , utility area + 2 bed rooms+ courtyard with motorised retractable roof+ bar , front &...",Vatika Signature Villas,Vatika Signature Villas,North-East Facing Private Garden,House
174,Independent House,"4 Bedroom House in Sector 82, Gurgaon","4 Bedroom House in Sector 82, Gurgaon",₹6.49 Cr,"₹24,037 /sqft",4,4,4 BHK,2700,"2,700 sqft",,,East,RESALE,,,,Garden,"Direct and confirm units available. Growth realtech. Keys in hand. For more info. Pls visit @ site address : Ab2-104, mapsko casa bella",Mapsko Casa Bella,Mapsko Casa Bella,East Facing Private Garden,House
175,Independent House,"6 Bedroom House in Sector 46, Gurgaon","6 Bedroom House in Sector 46, Gurgaon",₹32 Cr,"₹59,259 /sqft",6,6,6 BHK,5400,"5,400 sqft",,,North-East,RESALE,,,,Garden,"Ultra-Luxury 6 bhk villa for sale residency green, sector 46, gurgaon Experience unmatched elegance and exclusivity with this 6 bhk ultra-Luxury villa located in the elite residency green, sector 46, gurgaon. Designed for those who appreciate fine living, this masterpiece blends modern architecture, lavish interiors, and resort-Style amenities within a prime, green, and well-Connected neighborh...",Unitech Residency Greens,Unitech Residency Greens,North-East Facing Private Garden,House
176,Independent House,"12 Bedroom House in Sushant Lok 2,Sector 55, Gurgaon","12 Bedroom House in Sushant Lok 2,Sector 55, Gurgaon",₹8.25 Cr,"₹42,968 /sqft",12,12,12 BHK,1920,"1,920 sqft",,,,RESALE,,3.0,,,"Are you planning to buy your dream home? You can consider this well-Built 12 bhk house for sale in sushant lok 2,sector 55 gurgaon and make it your new address. This residential property boasts proximity to key landmarks like close to metro station and close to market. The floor plan additionally contains 12 bedrooms, 12 bathrooms and more than 3 balconies. All in all, the independent house is ...","Sector 55 , Gurgaon","Sector 55 , Gurgaon",55-56 Rapid Metro within 1.5km Hong Kong Bazaar within 1km,House
177,Independent House,"5 Bedroom House in Sector 66, Gurgaon","5 Bedroom House in Sector 66, Gurgaon",₹18.5 Cr,"₹57,099 /sqft",5,5,5 BHK,3240,"3,240 sqft",,,East,RESALE,,3.0,Servant Room,Garden,"Available for sale 5bhk independent house in emaar marbella, sector-66, gurgaon. -5bedroom with attach bathrooms, kitchen, family lounge, drawing, dining, front and rear lawn area , 3 balconies and terrace, a pantry and servant room. - Basement , ground , first and second floor in construction - Ready to move house - Modern elevator. - Provision of lpg gas pipelines. A space exquisitely shaped ...",Emaar MGF Marbella,Emaar MGF Marbella,East Facing Private Garden,House
178,Independent House,"9 Bedroom House in Sector 48, Gurgaon","9 Bedroom House in Sector 48, Gurgaon",₹6.3 Cr,"₹36,458 /sqft",9,6,9 BHK,1728,"1,728 sqft",,,,RESALE,,,,Garden,192sqyd independent-House available for sell vipul world sector 48 Close to main road & prime location Good gendry & best for rental purpose Rajiv chowk near by & walkin market,Vipul World,Vipul World,Private Garden Gated Society,House
179,Independent House,"5 Bedroom House in Rosewood City, Gurgaon","5 Bedroom House in Rosewood City, Gurgaon",₹4.3 Cr,"₹31,852 /sqft",5,4,5 BHK,1350,"1,350 sqft",,,,RESALE,,,,Garden,150sqyd independent-House sell in sector 49 Best for residential purpose & for residential also Close to huda market & huda metro Best deal all over instagram rosewood city,"Rosewood City, Gurgaon","Rosewood City, Gurgaon",Private Garden Gated Society,House
180,Independent House,"5 Bedroom House in DLF Phase 1, Gurgaon","5 Bedroom House in DLF Phase 1, Gurgaon",₹7 Cr,"₹35,000 /sqft",5,6,5 BHK,2000,"2,000 sqft",,,North-East,RESALE,,3.0,,Garden,"Planning to buy an individual house in gurgaon. Then you should definitely check out this 5 bhk house for sale in dlf phase 1, a well-Planned and well-Connected locality in gurgaon. This house occupies a super built up area of 2000 sq.Ft. And contains 5 bedrooms, 6 bathrooms and more than 3 balconies. As the property is already ready to move, so you can easily move into this 1-5 years old house...",WIDE ROAD,WIDE ROAD,North-East Facing Private Garden,House
181,Independent House,"9 Bedroom House in Block A South City 2, Gurgaon","9 Bedroom House in Block A South City 2, Gurgaon",₹2.6 Cr,"₹48,148 /sqft",9,5,9 BHK,540,540 sqft,,,South,RESALE,,,,,"This furnished 9 bhk independent villa in block a south city 2, gurgaon offers 540 sq.Ft. Across two floors with 5 bathrooms. Available immediately, the 10+ year old property is centrally air-Conditioned, near raheja mall, atms, and medical facilities, making it ideal for a large family seeking convenience and comfort.","Block A South City 2, Gurgaon","Block A South City 2, Gurgaon",,House
182,Independent House,"2 Bedroom House in Sector 5, Gurgaon","2 Bedroom House in Sector 5, Gurgaon",₹2.7 Cr,"₹1,07,142 /sqft",2,2,2 BHK,252,252 sqft,,,,RESALE,,,,,,"Sector 5, Gurgaon","Sector 5, Gurgaon",,House
183,Independent House,"3 Bedroom House in Block B, Palam Vihar, Gurgaon","3 Bedroom House in Block B, Palam Vihar, Gurgaon",₹2.1 Cr,"₹35,353 /sqft",3,3,3 BHK,594,594 sqft,,,,RESALE,,,,,"Address: Pocket b, palam vihar, gurgaon Premium 66 gaj independent house for sale pocket b, ansal palam vihar, gurgaon Presenting a beautifully constructed 3-Storey independent house built on 66 gaj, located in the highly prestigious ansal palam vihar, one of gurgaons most sought-After, well-Maintained communities. Thoughtfully designed with independent floors, this property is ideal for small ...","Block B, Palam Vihar, Gurgaon","Block B, Palam Vihar, Gurgaon",,House
184,Independent House,"4 Bedroom House in Om Nagar, Gurgaon","4 Bedroom House in Om Nagar, Gurgaon",₹2.3 Cr,"₹16,813 /sqft",4,4,4 BHK,1368,"1,368 sqft",,,,RESALE,,,,Park,"152 sq yd ready to move, 2 storey house in om nagar for sale. Just 2-3 kms from nh8 and hero honda chowk and good connectivity with all schools, hospitals, parks, market etc.","Om Nagar, Gurgaon","Om Nagar, Gurgaon",,House
185,Independent House,"6 Bedroom House in Block A Greenwood City, Gurgaon","6 Bedroom House in Block A Greenwood City, Gurgaon",₹13 Cr,"₹52,525 /sqft",6,8,6 BHK,2475,"2,475 sqft",,,,RESALE,,,,"Parking, Park",3 luxury floors built with stilled parking/ party area. Fully vastu complaint.,"Block A Greenwood City, Gurgaon","Block A Greenwood City, Gurgaon",,House
186,Independent House,"2 Bedroom House in Block G, Rajendra Park, Gurgaon","2 Bedroom House in Block G, Rajendra Park, Gurgaon",₹80 Lac,"₹14,336 /sqft",2,1,2 BHK,558,558 sqft,,,,RESALE,Unfurnished,,,Park,"This 2 bhk independent house in block g, rajendra park, gurgaon offers 2 bedrooms and 1 bathroom within 158 sq.Ft. Located on the ground floor of a 5-10 year old property, it comes unfurnished and is available for immediate sale. Nearby amenities include chintapurni mandir, multiple hospitals, and an atm, ensuring convenient living.","Block G, Rajendra Park, Gurgaon","Block G, Rajendra Park, Gurgaon",,House
187,Independent House,"2 Bedroom House in Pataudi, Gurgaon","2 Bedroom House in Pataudi, Gurgaon",₹2.6 Cr,"₹14,891 /sqft",2,1,2 BHK,1746,"1,746 sqft",,,,RESALE,,,,,2bhk house for sale in pataudi huda sector 1. Grab the opportunity before the next auction of huda plot in pataudi because after that price will shoot like last auction in other sector,"Pataudi, Gurgaon","Pataudi, Gurgaon",,House
188,Independent House,"3 Bedroom House in Farukhnagar, Gurgaon","3 Bedroom House in Farukhnagar, Gurgaon",₹98 Lac,"₹8,521 /sqft",3,2,3 BHK,1150,"1,150 sqft",,,,RESALE,,,,,"3bhk house on ground, with land, loan available, urgent sell, if any interested dm","Farukhnagar, Gurgaon","Farukhnagar, Gurgaon",,House
189,Independent House,"5 Bedroom House in Block E DLF City Phase 1, Gurgaon","5 Bedroom House in Block E DLF City Phase 1, Gurgaon",₹5.5 Cr,"₹22,000 /sqft",5,7,5 BHK,981,981 sqft,,,,RESALE,,,Study Room,,"Available 109 sq yards indipendent villa e block corner east facing dlf ph 1 sector 26a gurgaon *12 mtrs 12 mtrs road. *3 bhk att.Bath duplex with study room (Ground &first) + 2 room att. Bath with kitchen on second floor + sarvant room att. Bath (Gf) well maintained modern kitchen, two and half story' building.Available 109 sq yards indipendent villa e block corner east facing dlf 1 sector 26a...","Block E DLF City Phase 1, Gurgaon","Block E DLF City Phase 1, Gurgaon",,House
190,Independent House,"2 Bedroom House in Maruti Kunj, Gurgaon","2 Bedroom House in Maruti Kunj, Gurgaon",₹85 Lac,"₹9,444 /sqft",2,2,2 BHK,900,900 sqft,,,,RESALE,,,,"Parking, Park","Located in maruti kunj, gurgaon, this 900 sq.Ft. 3 bhk independent villa is nearly new and ready for immediate occupancy. Featuring 3 bedrooms and 2 bathrooms, it offers parking facilities and proximity to astha hospital and dhillon filling station. This residential property combines comfort with convenience in a sought-After neighborhood.","Maruti Kunj, Gurgaon","Maruti Kunj, Gurgaon",,House
191,Independent House,"5 Bedroom House in Mianwali Colony, Gurgaon","5 Bedroom House in Mianwali Colony, Gurgaon",₹3.6 Cr,"₹20,000 /sqft",5,5,5 BHK,1800,"1,800 sqft",,,,RESALE,,,,,"2 storey house built on 200 yards freehold land plot in mianwali colony. Located in a peaceful residential area, while just walking distance from centre points of gurgaon such as sadar bazaar and bus stand.","Mianwali Colony, Gurgaon","Mianwali Colony, Gurgaon",,House
192,Independent House,"4 Bedroom House in Sector 48, Gurgaon","4 Bedroom House in Sector 48, Gurgaon",₹8.4 Cr,"₹35,623 /sqft",4,4,4 BHK,2358,"2,358 sqft",,,North,RESALE,,3.0,,"Parking, Garden, Park","Looking to buy an independent house in gurgaon? Do check out this 4 bhk house in sector 48 gurgaon, which is an ideal choice for a family. The house has over super built up area of 262 sq.Yards and comes with 4 bedrooms, 4 bathrooms and more than 3 balconies. Your vehicle(s) can be easily parked as this house comes with 2 open parking. Being a ready to move house, you can expect immediate posse...",Eldeco Mansionz,Eldeco Mansionz,North Facing Private Garden,House
193,Independent House,"3 Bedroom House in Sector 23A, Gurgaon","3 Bedroom House in Sector 23A, Gurgaon",₹3.3 Cr,"₹34,736 /sqft",3,3,3 BHK,950,950 sqft,,,,RESALE,,,,"Parking, Park","It has a beautiful society park, lush green in front of the house. Parking space for three cars.","Sector 23A, Gurgaon","Sector 23A, Gurgaon",,House
